iter	Passed	Remaining
0	197	196958
1	200	99996
2	204	67830
3	210	52420
4	214	42697
5	218	36206
6	222	31622
7	227	28159
8	231	25456
9	235	23274
10	239	21520
11	241	19861
12	244	18534
13	246	17333
14	247	16272
15	249	15359
16	255	14773
17	257	14034
18	261	13515
19	263	12925
20	268	12531
21	271	12060
22	273	11637
23	277	11270
24	279	10886
25	284	10649
26	289	10440
27	293	10185
28	303	10172
29	312	10095
30	315	9847
31	327	9894
32	331	9713
33	344	9778
34	347	9571
35	350	9380
36	357	9295
37	359	9100
38	362	8931
39	366	8784
40	372	8718
41	375	8574
42	378	8425
43	381	8284
44	387	8222
45	390	8101
46	393	7976
47	395	7836
48	405	7867
49	408	7767
50	412	7675
51	423	7713
52	426	7628
53	428	7515
54	433	7444
55	435	7340
56	438	7247
57	441	7168
58	445	7112
59	448	7024
60	450	6928
61	452	6844
62	454	6758
63	457	6691
64	461	6638
65	463	6557
66	465	6485
67	469	6435
68	471	6365
69	477	6346
70	479	6272
71	481	6200
72	485	6168
73	487	6102
74	491	6067
75	494	6011
76	496	5947
77	497	5885
78	501	5850
79	503	5792
80	505	5740
81	508	5696
82	509	5632
83	512	5587
84	514	5537
85	518	5509
86	520	5464
87	522	5414
88	526	5385
89	527	5335
90	529	5287
91	534	5278
92	537	5243
93	540	5208
94	543	5175
95	547	5152
96	551	5132
97	553	5097
98	557	5072
99	559	5037
100	562	5007
101	568	5004
102	571	4973
103	574	4952
104	576	4916
105	580	4894
106	582	4857
107	583	4819
108	585	4782
109	587	4749
110	591	4733
111	592	4699
112	598	4696
113	601	4671
114	603	4641
115	606	4625
116	610	4609
117	615	4600
118	618	4577
119	619	4546
120	624	4533
121	626	4509
122	628	4480
123	631	4464
124	635	4451
125	640	4445
126	643	4421
127	645	4394
128	649	4383
129	650	4356
130	653	4335
131	655	4311
132	657	4283
133	658	4256
134	661	4237
135	663	4213
136	664	4186
137	666	4160
138	667	4136
139	671	4126
140	673	4102
141	674	4075
142	676	4052
143	677	4029
144	680	4013
145	683	3997
146	685	3975
147	686	3952
148	688	3930
149	689	3909
150	693	3898
151	697	3890
152	700	3876
153	703	3863
154	707	3854
155	709	3839
156	715	3842
157	719	3833
158	722	3818
159	726	3812
160	727	3791
161	729	3776
162	733	3764
163	736	3755
164	739	3742
165	743	3736
166	745	3717
167	747	3699
168	748	3680
169	751	3670
170	753	3652
171	757	3645
172	759	3632
173	761	3614
174	763	3599
175	766	3590
176	768	3573
177	773	3572
178	776	3560
179	780	3556
180	782	3542
181	784	3525
182	788	3520
183	792	3514
184	793	3497
185	797	3491
186	802	3490
187	806	3483
188	809	3472
189	812	3465
190	815	3455
191	819	3450
192	823	3445
193	828	3441
194	830	3430
195	835	3427
196	837	3411
197	838	3397
198	842	3390
199	843	3375
200	845	3360
201	849	3354
202	854	3355
203	857	3345
